Home Type,Posted,URL,Home Status,Home Price,Home City,Home Address,Home Zipcode,Lat,Lon,Num Beds,Num Baths,Square Feet,Brokered by
single_family,2024-12-31T15:37:00.000000Z,https://www.realtor.com/realestateandhomes-detail/179476-County-Road-II_Eland_WI_54427_M90878-26097,for_sale,449900,Eland,179476 County Road II,54427,44.836571,-89.307945,3,3,2216,Coldwell Banker Action
single_family,2024-12-30T22:27:04.000000Z,https://www.realtor.com/realestateandhomes-detail/1400-Amber-Ct_Reedsburg_WI_53959_M86683-48008,for_sale,290000,Reedsburg,1400 Amber Ct,53959,43.549059,-89.988076,4,3,1906,Castle Rock Realty LLC.
single_family,2024-12-30T22:03:42.000000Z,https://www.realtor.com/realestateandhomes-detail/14608-184th-St_Jim-Falls_WI_54748_M79284-81145,for_sale,299900,Jim Falls,14608 184th St,54748,45.054331,-91.301135,3,1,1004,Hometown Realty Group
single_family,2024-12-30T19:24:33.000000Z,https://www.realtor.com/realestateandhomes-detail/1520-Cliffview-Dr_Holmen_WI_54636_M78899-03497,for_sale,279900,Holmen,1520 Cliffview Dr,54636,43.949886,-91.254056,4,2,2236,"Edina Realty, Inc"
single_family,2024-12-22T21:36:33.000000Z,https://www.realtor.com/realestateandhomes-detail/S3881-County-Rd-S_Viroqua_WI_54665_M75810-97169,for_sale,249900,Webster,S3881 County Rd S,54665,43.589708,-90.769955,2,1.5,1197,New Directions Real Estate
mobile,2024-12-31T18:41:32.000000Z,https://www.realtor.com/realestateandhomes-detail/17327-Igloo-Rd_Sparta_WI_54656_M76644-11925,for_sale,109900,Sparta,17327 Igloo Rd,54656,43.923765,-90.795887,2,1,1100,VIP REALTY
single_family,2024-12-31T00:12:37.000000Z,https://www.realtor.com/realestateandhomes-detail/411-Eilbes-Ave_Beaver-Dam_WI_53916_M89944-74440,for_sale,399999,Beaver Dam,411 Eilbes Ave,53916,43.461928,-88.810916,3,3.5,2601,RE MAX Prime
single_family,2024-12-30T18:30:40.000000Z,https://www.realtor.com/realestateandhomes-detail/715-Apollo-Dr_Mount-Pleasant_WI_53406_M72365-90591,for_sale,379000,Mount Pleasant,715 Apollo Dr,53406,42.725058,-87.864398,3,3,1980,First Weber Realtors
condo_townhome_rowhome_coop,2024-12-29T19:59:39.000000Z,https://www.realtor.com/realestateandhomes-detail/13095-Deer-Trail-Ln_Iron-River_WI_54847_M87968-61277,for_sale,115000,Iron River,13095 Deer Trail Ln Unit 7,54847,46.484642,-91.299787,2,1,528,By The Bay Realty & Auction
single_family,2024-12-30T16:06:14.000000Z,https://www.realtor.com/realestateandhomes-detail/777-Congress-St_Neenah_WI_54956_M77968-06875,for_sale,169900,Neenah,777 Congress St,54956,44.17126,-88.4536,3,1,1110,"Acre Realty, Ltd."
single_family,2024-12-31T16:50:27.000000Z,https://www.realtor.com/realestateandhomes-detail/5447-Riverview-Dr_Rhinelander_WI_54501_M82670-40430,for_sale,460000,Rhinelander,5447 Riverview Dr,54501,45.650905,-89.429465,4,3,3950,Pine Point Realty
single_family,2024-12-27T21:44:58.000000Z,https://www.realtor.com/realestateandhomes-detail/104-Rickers-Bay-Rd_Neenah_WI_54956_M81186-25589,for_sale,649900,Neenah,104 Rickers Bay Rd,54956,44.131053,-88.47024,3,2,2128,"Coaction Real Estate, LLC"
single_family,2024-11-18T17:06:43.000000Z,https://www.realtor.com/realestateandhomes-detail/1336-Virginia-St_Racine_WI_53405_M75391-14809,for_sale,295000,Racine,1336 Virginia St,53405,42.715833,-87.83509,6,2.5,3618,SynerG Realty LLC
single_family,2024-12-30T16:23:32.000000Z,https://www.realtor.com/realestateandhomes-detail/2521-County-Road-H_Barneveld_WI_53507_M79833-97602,for_sale,425000,Barneveld,2521 County Road H,53507,42.938183,-89.899198,3,2,1986,Peterson Best Way Realty Llc
single_family,2024-12-22T23:09:50.000000Z,https://www.realtor.com/realestateandhomes-detail/754-E-Daffodil-Ln_Beloit_WI_53511_M80795-74030,for_sale,129000,Beloit,754 E Daffodil Ln,53511,42.555399,-89.030825,2,1,1011,"Beloit Auction & Realty, Inc."
single_family,2024-12-18T20:33:28.000000Z,https://www.realtor.com/realestateandhomes-detail/377-County-Road-H_Mount-Horeb_WI_53572_M91690-89325,for_sale,550000,Mount Horeb,377 County Road H,53572,42.875786,-89.797762,4,3.5,4554,Berkshire Hathaway HomeServices TRUE Realty
single_family,2024-09-18T21:42:32.000000Z,https://www.realtor.com/realestateandhomes-detail/466-Park-Ave_Pewaukee_WI_53072_M86793-58001,for_sale,369900,Pewaukee,466 Park Ave,53072,43.076792,-88.26907,3,2,1536,REALTY EXECUTIVES INTEGRITY Brookfield
single_family,2024-12-31T17:42:40.000000Z,https://www.realtor.com/realestateandhomes-detail/875-Circle-Dr_Mayville_WI_53050_M79273-02760,for_sale,299900,Mayville,875 Circle Dr,53050,43.491381,-88.55378,3,2.5,2462,Coldwell Banker Realty
single_family,2024-12-30T08:18:41.000000Z,https://www.realtor.com/realestateandhomes-detail/6311-60th-Ave_Kenosha_WI_53142_M74166-62071,for_sale,369000,Kenosha,6311 60th Ave,53142,42.577776,-87.879167,3,1.5,2016,RE/MAX Advantage Realty
single_family,2024-12-27T22:02:13.000000Z,https://www.realtor.com/realestateandhomes-detail/3304-27th-St_Kenosha_WI_53144_M71976-71129,for_sale,500000,Somers,3304 27th St,53144,42.61424,-87.849017,5,4,3284,RE MAX Elite
single_family,2024-12-27T15:03:58.000000Z,https://www.realtor.com/realestateandhomes-detail/W6504-Beaverbrook-Ave_Spooner_WI_54801_M81011-32270,for_sale,325000,Spooner,W6504 Beaverbrook Ave,54801,45.816208,-91.868686,1,1,1166,"Edina Realty, Inc. - Spooner"
single_family,2024-12-31T20:27:49.000000Z,https://www.realtor.com/realestateandhomes-detail/602-Lances-Cir_Hatley_WI_54440_M94146-81684,for_sale,199900,Hatley,602 Lances Cir,54440,44.891348,-89.34748,0,0.5,744,First Weber Realtors
condos,2024-12-31T14:54:37.000000Z,https://www.realtor.com/realestateandhomes-detail/1574-E-Gate-Dr_Watertown_WI_53094_M78795-61235,for_sale,350000,Watertown,1574 E Gate Dr Unit 2,53094,43.1836,-88.694087,2,2,1780,RE MAX Community Realty
single_family,2024-12-31T16:30:45.000000Z,https://www.realtor.com/realestateandhomes-detail/W5952-Theisen-Rd_Tomahawk_WI_54487_M92009-61885,for_sale,475000,Tomahawk,W5952 Theisen Rd,54487,45.545051,-89.726531,3,2,1834,"NORTHWOODS COMMUNITY REALTY, LLC"
single_family,2024-12-27T15:48:39.000000Z,https://www.realtor.com/realestateandhomes-detail/1110-Lee-St_Lake-Mills_WI_53551_M80300-28700,for_sale,439900,Lake Mills,1110 Lee St,53551,43.077217,-88.885989,3,2.5,1917,First Weber Realtors
single_family,2024-12-31T00:54:41.000000Z,https://www.realtor.com/realestateandhomes-detail/219-N-Main-St_North-Prairie_WI_53153_M80932-45556,for_sale,105900,North Prairie,219 N Main St,53153,42.935801,-88.406025,2,1.5,880,Modern Realty Partners
single_family,2024-12-12T15:08:53.000000Z,https://www.realtor.com/realestateandhomes-detail/745-S-Quincy-St_Green-Bay_WI_54301_M86193-65428,for_sale,499900,Green Bay,745 S Quincy St,54301,44.502903,-88.014715,4,2.5,2598,Northland Realty LLC
single_family,2024-08-23T21:45:37.000000Z,https://www.realtor.com/realestateandhomes-detail/716-Kimberly-Dr_Eau-Claire_WI_54703_M86696-24590,for_sale,280000,Eau Claire,716 Kimberly Dr,54703,44.853324,-91.49661,4,2.5,2500,EDINA/CHIPPEWA VALLEY
single_family,2024-12-23T20:35:34.000000Z,https://www.realtor.com/realestateandhomes-detail/37-Corry-St_Madison_WI_53704_M72697-79841,for_sale,275000,Madison,37 Corry St,53704,43.098858,-89.344746,2,1,1066,STARK COMPANY REALTORS
land,2024-12-31T20:55:43.000000Z,https://www.realtor.com/realestateandhomes-detail/W-Town-Line-Rd_Sturgeon-Bay_WI_54235_M95322-28301,for_sale,315000,Sturgeon Bay,W Town Line Rd,54235,44.93702295,-87.213582,,,,Sunnypoint Real Estate LLC
single_family,2024-12-30T18:27:32.000000Z,https://www.realtor.com/realestateandhomes-detail/13257-35th-Ave_Chippewa-Falls_WI_54729_M74595-63791,for_sale,449750,Chippewa Falls,13257 35th Ave,54729,44.893876,-91.402422,5,3.5,2837,Woods & Water Realty Inc/Regional Office
single_family,2024-12-27T08:19:32.000000Z,https://www.realtor.com/realestateandhomes-detail/N617-County-Road-F_Montello_WI_53949_M85513-15157,for_sale,149900,Buffalo City,N617 County Road F,53949,43.661119,-89.401437,3,3,1844,The Wisconsin Real Estate Group
single_family,2024-12-31T03:24:41.000000Z,https://www.realtor.com/realestateandhomes-detail/31722-Korth-Circle-Dr_Burlington_WI_53105_M92487-64452,for_sale,799900,Burlington,31722 Korth Circle Dr,53105,42.687061,-88.256752,4,2,1568,1st Choice Properties-Waterford
single_family,2024-12-29T14:48:39.000000Z,https://www.realtor.com/realestateandhomes-detail/60-Lincoln-Ave_Sheboygan_WI_53081_M74409-39166,for_sale,260000,Sheboygan,60 Lincoln Ave,53081,43.76493,-87.699834,2,1,1134,VILLAGE REALTY & DEVELOPMENT
single_family,2024-10-22T08:01:10.000000Z,https://www.realtor.com/realestateandhomes-detail/1826-15th-Ave_Kenosha_WI_53140_M77338-78700,for_sale,199900,Kenosha,1826 15th Ave,53140,42.62321,-87.828586,3,2,1520,Moving Forward Realty
single_family,2024-12-27T00:48:38.000000Z,https://www.realtor.com/realestateandhomes-detail/W274S8745-Ridgeway-Rd_Mukwonago_WI_53149_M70802-78855,for_sale,475000,Vernon,W274S8745 Ridgeway Rd,53149,42.884292,-88.296361,4,1.5,1848,"Cherry Home Realty, Llc"
single_family,2024-12-30T20:12:38.000000Z,https://www.realtor.com/realestateandhomes-detail/419-Eastfield-Dr_Oostburg_WI_53070_M71652-65594,for_sale,484900,Oostburg,419 Eastfield Dr,53070,43.621717,-87.78722,3,2,1638,"Greystone Asset, Llc"
single_family,2024-09-17T07:21:33.000000Z,https://www.realtor.com/realestateandhomes-detail/S6306-Weber-Rd_Viroqua_WI_54665_M76629-70445,for_sale,379900,Franklin,S6306 Weber Rd,54665,43.502217,-90.967761,4,2,2050,Hall Realty
single_family,2024-11-25T20:42:23.000000Z,https://www.realtor.com/realestateandhomes-detail/W12187-State-Road-35_Prescott_WI_54021_M75581-93198,for_sale,239900,Prescott,W12187 State Road 35,54021,44.72386,-92.743954,2,1,1000,Vsm Real Estate Llc
single_family,2024-10-21T18:21:51.000000Z,https://www.realtor.com/realestateandhomes-detail/1655-Washington-Rd_Stoughton_WI_53589_M72776-68329,for_sale,599000,Stoughton,1655 Washington Rd,53589,42.939336,-89.132806,2,1.5,3740,"eXp Realty, LLC- WI"
single_family,2024-12-26T21:10:36.000000Z,https://www.realtor.com/realestateandhomes-detail/4052-Fox-Farm-Ln_Rhinelander_WI_54501_M75689-99739,for_sale,295000,Rhinelander,4052 Fox Farm Ln,54501,45.660284,-89.458224,3,2,1352,"KEY INSIGHT, LLC"
single_family,2024-09-20T07:28:31.000000Z,https://www.realtor.com/realestateandhomes-detail/1497-Hillside-Ln_Hubertus_WI_53033_M87347-36415,for_sale,385000,Richfield,1497 Hillside Ln,53033,43.243326,-88.284864,4,2.5,2609,Keller Willliams Prestige
mobile,2024-12-11T19:50:28.000000Z,https://www.realtor.com/realestateandhomes-detail/8573-Hower-Rd_Minocqua_WI_54548_M96792-15018,for_sale,59900,Minocqua,8573 Hower Rd,54548,45.878872,-89.746437,2,1,720,ELIASON REALTY OF THE NORTH/ER
single_family,2024-12-03T21:14:49.000000Z,https://www.realtor.com/realestateandhomes-detail/3400-Blackberry-Ln_Suamico_WI_54313_M86555-18129,for_sale,440000,Green Bay,3400 Blackberry Ln,54313,44.67027,-88.115348,4,3,3665,Dallaire Realty
multi_family,2024-12-28T10:18:55.000000Z,https://www.realtor.com/realestateandhomes-detail/501-E-Oklahoma-Ave_Milwaukee_WI_53207_M98623-49659,for_sale,349900,Milwaukee,501 E Oklahoma Ave,53207,42.987987,-87.902684,,,,Andrew's Realty
single_family,2024-12-26T16:19:36.000000Z,https://www.realtor.com/realestateandhomes-detail/W7217-County-Road-F_Necedah_WI_54646_M72948-08307,for_sale,425000,Necedah,W7217 County Road F,54646,44.210611,-90.129924,4,1,1504,Castle Rock Realty LLC.
single_family,2024-12-03T15:30:58.000000Z,https://www.realtor.com/realestateandhomes-detail/2601-N-11th-St_Sheboygan_WI_53083_M87929-86232,for_sale,177500,Sheboygan,2601 N 11th St,53083,43.772478,-87.717437,2,2,1497,Pleasant View Realty
single_family,2024-12-31T18:40:27.000000Z,https://www.realtor.com/realestateandhomes-detail/2014-Tannery-Rd_Tomahawk_WI_54487_M98688-78340,for_sale,115000,Tomahawk,2014 Tannery Rd,54487,45.492592,-89.754348,2,1,942,"NORTHWOODS COMMUNITY REALTY, LLC"
farm,2024-04-25T15:04:43.000000Z,https://www.realtor.com/realestateandhomes-detail/W6118-Durst-Rd_New-Glarus_WI_53574_M98793-26955,for_sale,399000,New Glarus,W6118 Durst Rd,53574,42.823413,-89.667065,4,1.5,2048,First Weber Realtors
single_family,2024-12-04T05:11:34.000000Z,https://www.realtor.com/realestateandhomes-detail/N8508-Nevar-Dr_Wisconsin-Dells_WI_53965_M83972-38890,for_sale,90000,Wisconsin Dells,N8508 Nevar Dr,53965,43.586834,-89.719614,2,1,648,"Weichert, Realtors - Great Day Group"
single_family,2024-12-06T20:49:14.000000Z,https://www.realtor.com/realestateandhomes-detail/2403-W-Hickory-Ct_Janesville_WI_53545_M85332-57134,for_sale,275000,Janesville,2403 W Hickory Ct,53545,42.724913,-89.051247,3,2,2520,"Realty Executives Cooper Spransy, Inc"
condos,2024-12-31T15:48:33.000000Z,https://www.realtor.com/realestateandhomes-detail/1778-Cottage-Dr_Lake-Geneva_WI_53147_M84802-63557,for_sale,268000,Geneva,1778 Cottage Dr Unit 7-03,53147,42.607785,-88.528019,2,2,1115,Shorewest Realtors - Lake Geneva
condos,2024-12-31T15:24:37.000000Z,https://www.realtor.com/realestateandhomes-detail/1603-Quietwood-Ln_West-Bend_WI_53090_M82684-85577,for_sale,349900,West Bend,1603 Quietwood Ln,53090,43.436333,-88.198523,2,2.5,1311,Coldwell Banker Realty
single_family,2024-08-06T12:42:09.000000Z,https://www.realtor.com/realestateandhomes-detail/N325-Wolf-Rd_Monroe_WI_53566_M86578-10583,for_sale,424900,Monroe,N325 Wolf Rd,53566,42.514052,-89.735566,4,2,2370,Rock Realty
single_family,2024-10-16T19:18:53.000000Z,https://www.realtor.com/realestateandhomes-detail/N30W22257-Green-Rd_Waukesha_WI_53186_M87376-10967,for_sale,525000,Pewaukee,N30W22257 Green Rd,53186,43.074349,-88.191279,3,2.5,2577,Shorewest Realtors - Brookfield Waukesha
single_family,2024-12-26T19:50:26.000000Z,https://www.realtor.com/realestateandhomes-detail/5375-Moose-Dr_Eagle-River_WI_54521_M81665-07860,for_sale,699000,Eagle River,5375 Moose Dr,54521,45.861619,-89.300319,4,4,4221,ELIASON REALTY OF THE NORTH/ER
single_family,2024-10-21T21:20:29.000000Z,https://www.realtor.com/realestateandhomes-detail/14875-Deer-Trl_Lac-Du-Flambeau_WI_54538_M79784-26648,for_sale,270000,Lac du Flambeau,14875 Deer Trl,54538,45.922216,-89.95441,4,1,1584,RE MAX Property Pros
single_family,2024-12-02T18:14:53.000000Z,https://www.realtor.com/realestateandhomes-detail/N2222-US-Highway-151_Chilton_WI_53014_M82629-40840,for_sale,125000,Chilton,N2222 Highway 151,53014,43.969094,-88.307941,4,1,1368,Beckman Properties
single_family,2024-11-26T13:37:00.000000Z,https://www.realtor.com/realestateandhomes-detail/421-N-Glover-Rd_Hudson_WI_54016_M81080-05315,for_sale,735000,Hudson,421 N Glover Rd,54016,44.923548,-92.691531,7,3.5,4036,Lakes Area Realty Hudson
single_family,2024-12-03T18:03:23.000000Z,https://www.realtor.com/realestateandhomes-detail/601-S-Ridge-Ln_Appleton_WI_54914_M81553-21505,for_sale,250000,Appleton,601 S Ridge Ln,54914,44.257144,-88.459847,4,2,2004,"eXp Realty, LLC - Northeast Wisconsin"
single_family,2024-12-06T00:50:59.000000Z,https://www.realtor.com/realestateandhomes-detail/N6485-County-Road-M_Westfield_WI_53964_M74593-81557,for_sale,99900,Westfield,N6485 County Road M,53964,43.875172,-89.495189,4,2.5,2072,Gold Star Real Estate Llc
single_family,2024-12-20T21:14:43.000000Z,https://www.realtor.com/realestateandhomes-detail/732-W-Bell-Ave_Appleton_WI_54914_M71441-73314,for_sale,105000,Appleton,732 W Bell Ave,54914,44.276515,-88.417182,2,0.5,528,Keller Williams Green Bay
single_family,2024-08-16T17:42:43.000000Z,https://www.realtor.com/realestateandhomes-detail/S3141-Natwick-Rd_Viroqua_WI_54665_M80710-93138,for_sale,399900,Jefferson,S3141 Natwick Rd,54665,43.616881,-90.920466,3,1.5,1726,New Directions Real Estate
single_family,2024-12-10T21:21:11.000000Z,https://www.realtor.com/realestateandhomes-detail/6217-S-Highway-213_Beloit_WI_53511_M83093-49257,for_sale,374900,Beloit,6217 S Highway 213,53511,42.589904,-89.167547,4,2,2276,CENTURY 21 Affiliated
single_family,2024-12-27T21:44:58.000000Z,https://www.realtor.com/realestateandhomes-detail/2675-Seneca-Ct_Green-Bay_WI_54313_M73708-26887,for_sale,429900,Green Bay,2675 Seneca Ct,54313,44.533661,-88.104333,3,2.5,2045,"Country Pride Realty, Inc."
single_family,2024-12-30T18:12:37.000000Z,https://www.realtor.com/realestateandhomes-detail/380-Fond-Du-Lac-St_Waupun_WI_53963_M79258-44497,for_sale,149900,Waupun,380 Fond Du Lac St,53963,43.639311,-88.722672,4,1,1176,"eXp Realty, LLC - Metro Milwaukee"
single_family,2024-12-19T22:24:37.000000Z,https://www.realtor.com/realestateandhomes-detail/26528-Oakridge-Dr_Waterford_WI_53185_M85380-17025,for_sale,374800,Norway,26528 Oakridge Dr,53185,42.830089,-88.160518,3,2,1200,Shorewest Realtors - New Berlin
single_family,2024-12-29T04:00:08.000000Z,https://www.realtor.com/realestateandhomes-detail/927-Rock-Ave_Waupun_WI_53963_M79326-70462,for_sale,215000,Waupun,927 Rock Ave,53963,43.634103,-88.754854,3,1,1120,My Property Shoppe Llc
single_family,2024-12-19T14:33:54.000000Z,https://www.realtor.com/realestateandhomes-detail/5914-State-Road-130_Avoca_WI_53506_M79867-51537,for_sale,375000,Avoca,5914 Highway 130,53506,43.099177,-90.189247,3,1,1296,True Blue Real Estate
single_family,2024-12-27T15:09:55.000000Z,https://www.realtor.com/realestateandhomes-detail/2709-W-8th-St_Marshfield_WI_54449_M87081-20125,for_sale,171500,Marshfield,2709 W 8th St,54449,44.663156,-90.211827,3,1.5,1472,First Weber Realtors
single_family,2024-12-27T22:54:30.000000Z,https://www.realtor.com/realestateandhomes-detail/600-E-Andrew-Ct_Oak-Creek_WI_53154_M74908-34411,for_sale,325000,Oak Creek,600 E Andrew Ct,53154,42.852505,-87.905934,3,3,2026,Keller Williams Realty-Milwaukee North Shore
single_family,2024-12-16T19:39:37.000000Z,https://www.realtor.com/realestateandhomes-detail/183-Green-Hill-Cir_Milton_WI_53563_M86504-75305,for_sale,389900,Milton,183 Green Hill Cir,53563,42.777798,-88.949799,3,2.5,2614,Keller Williams Realty Signature
single_family,2025-01-02T15:12:47.000000Z,https://www.realtor.com/realestateandhomes-detail/N8467-River-Rd_Berlin_WI_54923_M84439-78175,for_sale,625000,Berlin,N8467 River Rd,54923,43.937668,-88.987648,3,3,2431,BETTER HOMES AND GARDENS REAL ESTATE SPECIAL PROPERTIES
single_family,2024-12-23T16:07:47.000000Z,https://www.realtor.com/realestateandhomes-detail/E2059-N-Westgate-Acres-Rd_Waupaca_WI_54981_M89194-39295,for_sale,170000,Waupaca,E2059 N Westgate Acres Rd,54981,44.359621,-89.125572,3,1,1700,Bridge Realty Partners
single_family,2024-12-10T21:21:11.000000Z,https://www.realtor.com/realestateandhomes-detail/6217-S-Highway-213_Beloit_WI_53511_M83093-49257,for_sale,374900,Beloit,6217 S Highway 213,53511,42.589904,-89.167547,4,2,2276,CENTURY 21 Affiliated
single_family,2024-12-27T21:44:58.000000Z,https://www.realtor.com/realestateandhomes-detail/2675-Seneca-Ct_Green-Bay_WI_54313_M73708-26887,for_sale,429900,Green Bay,2675 Seneca Ct,54313,44.533661,-88.104333,3,2.5,2045,"Country Pride Realty, Inc."
single_family,2024-12-19T22:24:37.000000Z,https://www.realtor.com/realestateandhomes-detail/26528-Oakridge-Dr_Waterford_WI_53185_M85380-17025,for_sale,374800,Norway,26528 Oakridge Dr,53185,42.830089,-88.160518,3,2,1200,Shorewest Realtors - New Berlin
single_family,2024-12-29T04:00:08.000000Z,https://www.realtor.com/realestateandhomes-detail/927-Rock-Ave_Waupun_WI_53963_M79326-70462,for_sale,215000,Waupun,927 Rock Ave,53963,43.634103,-88.754854,3,1,1120,My Property Shoppe Llc
single_family,2024-12-19T14:33:54.000000Z,https://www.realtor.com/realestateandhomes-detail/5914-State-Road-130_Avoca_WI_53506_M79867-51537,for_sale,375000,Avoca,5914 Highway 130,53506,43.099177,-90.189247,3,1,1296,True Blue Real Estate
single_family,2024-12-27T15:09:55.000000Z,https://www.realtor.com/realestateandhomes-detail/2709-W-8th-St_Marshfield_WI_54449_M87081-20125,for_sale,171500,Marshfield,2709 W 8th St,54449,44.663156,-90.211827,3,1.5,1472,First Weber Realtors
single_family,2024-12-27T22:54:30.000000Z,https://www.realtor.com/realestateandhomes-detail/600-E-Andrew-Ct_Oak-Creek_WI_53154_M74908-34411,for_sale,325000,Oak Creek,600 E Andrew Ct,53154,42.852505,-87.905934,3,3,2026,Keller Williams Realty-Milwaukee North Shore
single_family,2024-12-30T06:18:44.000000Z,https://www.realtor.com/realestateandhomes-detail/6461-Blue-Heron-Pointe-Dr_Waterford_WI_53185_M83201-60326,for_sale,980000,Waterford,6461 Blue Heron Pointe Rd,53185,42.805945,-88.210633,4,4,3520,Prestige Promise Realty LLC
single_family,2024-12-16T19:39:37.000000Z,https://www.realtor.com/realestateandhomes-detail/183-Green-Hill-Cir_Milton_WI_53563_M86504-75305,for_sale,389900,Milton,183 Green Hill Cir,53563,42.777798,-88.949799,3,2.5,2614,Keller Williams Realty Signature
single_family,2024-12-30T22:30:39.000000Z,https://www.realtor.com/realestateandhomes-detail/12048-State-Highway-21_Sparta_WI_54656_M75711-72537,for_sale,190000,Angelo,12048 State Highway 21,54656,43.97445,-90.750708,1,1,924,McClain Realty
single_family,2024-12-27T15:04:13.000000Z,https://www.realtor.com/realestateandhomes-detail/5247-Brandenburg-Way_Madison_WI_53718_M88788-46260,for_sale,350000,Madison,5247 Brandenburg Way,53718,43.030557,-89.29034,3,1.5,1276,Real Broker LLC
single_family,2025-01-02T18:04:00.000000Z,https://www.realtor.com/realestateandhomes-detail/E3405-State-Highway-29_Kewaunee_WI_54216_M76861-91621,for_sale,679900,Kewaunee,E3405 State Road 29,54216,44.441594,-87.597191,3,2.5+,2440,Shorewest Realtors - Green Bay/Door County
single_family,2025-01-02T17:14:46.000000Z,https://www.realtor.com/realestateandhomes-detail/1096-Lakeshore-Dr_Menasha_WI_54952_M76625-64984,for_sale,749900,Menasha,1096 Lakeshore Dr,54952,44.219818,-88.456397,3,2.5,3647,Century 21 Ace Realty
single_family,2025-01-02T18:04:00.000000Z,https://www.realtor.com/realestateandhomes-detail/1830-Palisades-Dr_Appleton_WI_54915_M85477-36435,for_sale,479000,Appleton,1830 Palisades Dr,54915,44.243404,-88.435309,3,3,3410,Berkshire Hathaway HS Fox Cities Realty
single_family,2024-12-21T00:00:00.000000Z,https://www.realtor.com/realestateandhomes-detail/The-Julian-Single-Family_Village-at-Autumn-Lake_1803-Autumn-Lake-Parkway_Madison_WI_53718_P417000916017,ready_to_build,518800,Madison,1803 Autumn Lake Parkway,53718,43.1224791,-89.281804869023,3,2,1720,Veridian Homes
single_family,2025-01-02T13:51:36.000000Z,https://www.realtor.com/realestateandhomes-detail/725-Oneida-Pl_Madison_WI_53711_M85945-98098,for_sale,975000,Madison,725 Oneida Pl,53711,43.049947,-89.441722,4,2,2624,Compass Real Estate Wisconsin
single_family,2025-01-02T16:07:35.000000Z,https://www.realtor.com/realestateandhomes-detail/1608-Monroe-St_Two-Rivers_WI_54241_M93901-12759,for_sale,280000,Two Rivers,1608 Monroe St,54241,44.148104,-87.571878,4,2,1820,Keller Williams Envision
single_family,2025-01-02T18:32:52.000000Z,https://www.realtor.com/realestateandhomes-detail/W7113-Bighorn-Ct_Wautoma_WI_54982_M72017-32504,for_sale,649900,Wautoma,W7113 Bighorn Ct,54982,44.118673,-89.240024,3,3.5,2610,"Coaction Real Estate, LLC"
single_family,2024-12-24T19:35:45.000000Z,https://www.realtor.com/realestateandhomes-detail/W8297-State-Road-33_Portage_WI_53901_M83323-04406,for_sale,279000,Portage,W8297 Highway 33,53901,43.554778,-89.413837,3,1,1380,Kim Colby Homes
